p,p_bell,p_single_ratio,p_idle_ratio,telegate_idle_depth,logical_error_rate,acceptance_ratio,discarded_runs,n_samples,logical_failures,avg_fidelity,z_error_pre_decoding_rate,x_error_pre_decoding_rate,depth_cx_layers,depth_telegate_layers,encoding_circ_gate_counts,total_single_qubit_count,total_two_qubit_count,total_telegate_count,num_meas
0.0004999999999999999,0.001,0.01,0.1,25,8.548400227957339e-5,0.98264,4340,250000,[21],0.9999145159977401,0.016795571114548564,0.008576894895383864,8,3,"[3, 6, 2]",3,8,3,1
0.0005460539995742772,0.001,0.01,0.1,25,7.748586902441213e-5,0.980824,4794,250000,[19],0.9999225141309855,0.018563982936796,0.009494058057306918,8,3,"[3, 6, 2]",3,8,3,1
0.0005963499409021295,0.001,0.01,0.1,25,0.00011430717604121591,0.979816,5046,250000,[28],0.9998856928239499,0.0208324828335116,0.010965324101668068,8,3,"[3, 6, 2]",3,8,3,1
0.0006512785407509825,0.001,0.01,0.1,25,0.00013909343806251022,0.97776,5560,250000,[34],0.9998609065619471,0.022484045164457536,0.01249386352479136,8,3,"[3, 6, 2]",3,8,3,1
0.0007112665040279459,0.001,0.01,0.1,25,0.00015978760539836278,0.976296,5926,250000,[39],0.9998402123945999,0.02380425608626892,0.01263960929881921,8,3,"[3, 6, 2]",3,8,3,1
0.0007767798385753472,0.001,0.01,0.1,25,0.00014372123008947674,0.974108,6473,250000,[35],0.9998562787699157,0.026411855769586125,0.014310528196052183,8,3,"[3, 6, 2]",3,8,3,1
0.0008483274752854595,0.001,0.01,0.1,25,0.00021001136532094677,0.971376,7156,250000,[51],0.9997899886346869,0.028981568414290657,0.01540083345686943,8,3,"[3, 6, 2]",3,8,3,1
0.000926465221656747,0.001,0.01,0.1,25,0.0002765189972678272,0.969192,7702,250000,[67],0.99972348100273,0.03146538559955096,0.01643430816597743,8,3,"[3, 6, 2]",3,8,3,1
0.001011800079504272,0.001,0.01,0.1,25,0.00030195734542265754,0.967024,8244,250000,[73],0.9996980426545794,0.03370753983355118,0.018171213951256638,8,3,"[3, 6, 2]",3,8,3,1
0.0011049949603657587,0.001,0.01,0.1,25,0.0003152951328388178,0.964176,8956,250000,[76],0.9996847048671678,0.036321169578998024,0.019672756841074657,8,3,"[3, 6, 2]",3,8,3,1
0.0012067738352342851,0.001,0.01,0.1,25,0.0004788235098179638,0.960688,9828,250000,[115],0.99952117649018,0.04070416201722099,0.02294189164432157,8,3,"[3, 6, 2]",3,8,3,1
0.001317927358622541,0.001,0.01,0.1,25,0.000496839433185534,0.958056,10486,250000,[119],0.9995031605668225,0.04315822874654509,0.024023647886971117,8,3,"[3, 6, 2]",3,8,3,1
0.0014393190106484026,0.001,0.01,0.1,25,0.0006121310966789792,0.954044,11489,250000,[146],0.9993878689033154,0.048488329678715025,0.026770253782844398,8,3,"[3, 6, 2]",3,8,3,1
0.001571891804855704,0.001,0.01,0.1,25,0.0006313636191446286,0.950324,12419,250000,[150],0.9993686363808497,0.052079080397843265,0.028857526485703822,8,3,"[3, 6, 2]",3,8,3,1
0.0017166756138789728,0.001,0.01,0.1,25,0.0007526395237229441,0.946004,13499,250000,[178],0.9992473604762704,0.056701662995082475,0.030858220472640707,8,3,"[3, 6, 2]",3,8,3,1
0.0018747951698604795,0.001,0.01,0.1,25,0.0010063737001006373,0.941996,14501,250000,[237],0.9989936262999028,0.06164782016059516,0.03470078429207767,8,3,"[3, 6, 2]",3,8,3,1
0.0020474788017697024,0.001,0.01,0.1,25,0.0012518692587054048,0.9362,15950,250000,[293],0.9987481307412878,0.0663533433027131,0.0377996154667806,8,3,"[3, 6, 2]",3,8,3,1
0.0022360679774997894,0.001,0.01,0.1,25,0.0015420034877627635,0.931256,17186,250000,[359],0.9984579965122351,0.0736381832707655,0.04108429905418059,8,3,"[3, 6, 2]",3,8,3,1
0.00244202772486745,0.001,0.01,0.1,25,0.001740580135791165,0.9261280000000001,18468,250000,[403],0.9982594198642092,0.0802308104279322,0.046114575954943594,8,3,"[3, 6, 2]",3,8,3,1
0.0026669580124702875,0.001,0.01,0.1,25,0.002099001450140006,0.918532,20367,250000,[482],0.9979009985498547,0.08703452900933228,0.049448467772489145,8,3,"[3, 6, 2]",3,8,3,1
0.002912606178812128,0.001,0.01,0.1,25,0.0023706754891435334,0.91282,21795,250000,[541],0.99762932451086,0.09399443482833417,0.05375868188689994,8,3,"[3, 6, 2]",3,8,3,1
0.00318088050625023,0.001,0.01,0.1,25,0.0031127751825719913,0.905944,23514,250000,[705],0.9968872248174596,0.10209019542046749,0.05969905424617857,8,3,"[3, 6, 2]",3,8,3,1
