fitness_evolution,fidelity_evolution,single_count,two_qubit_count,telegate_count
9647.0,1.0,3,5,3
9647.541459333497,1.0,3,5,3
9648.08208813382,1.0,3,5,3
9648.621887674912,1.0,3,5,3
9649.160859228748,1.0,3,5,3
9649.699004065369,1.0,3,5,3
9650.236323452853,1.0,3,5,3
9650.772818657342,1.0,3,5,3
9651.308490943033,1.0,3,5,3
9651.843341572183,1.0,3,5,3
9652.377371805114,1.0,3,5,3
9652.910582900216,1.0,3,5,3
9653.442976113945,1.0,3,5,3
9653.974552700834,1.0,3,5,3
9654.50531391349,1.0,3,5,3
9655.035261002598,1.0,3,5,3
9655.564395216927,1.0,3,5,3
9656.092717803323,1.0,3,5,3
9656.62023000673,1.0,3,5,3
9657.146933070178,1.0,3,5,3
9657.672828234789,1.0,3,5,3
9658.197916739779,1.0,3,5,3
9658.72219982247,1.0,3,5,3
9659.245678718282,1.0,3,5,3
9659.768354660739,1.0,3,5,3
9660.290228881475,1.0,3,5,3
9660.811302610235,1.0,3,5,3
9661.331577074876,1.0,3,5,3
9661.851053501372,1.0,3,5,3
9662.36973311382,1.0,3,5,3
9662.887617134433,1.0,3,5,3
9663.404706783555,1.0,3,5,3
9663.921003279655,1.0,3,5,3
9664.436507839333,1.0,3,5,3
9664.951221677326,1.0,3,5,3
9741.280410367635,1.0,3,7,2
9741.677254947139,1.0,3,7,2
9742.073490815023,1.0,3,7,2
9742.469118904979,1.0,3,7,2
9742.864140149264,1.0,3,7,2
9743.258555478706,1.0,3,7,2
9743.652365822705,1.0,3,7,2
9744.045572109235,1.0,3,7,2
9744.438175264848,1.0,3,7,2
9744.830176214673,1.0,3,7,2
9745.221575882422,1.0,3,7,2
9745.612375190387,1.0,3,7,2
9746.00257505945,1.0,3,7,2
9746.392176409077,1.0,3,7,2
9746.781180157324,1.0,3,7,2
9747.16958722084,1.0,3,7,2
9747.557398514866,1.0,3,7,2
9747.94461495324,1.0,3,7,2
